kind,id,classe,nfac,area_mm2,rmin_mm,rmax_mm,length_mm,zmin_mm,zmax_mm,n_er,n_z,orient,azimut_deg
component,0,noyau,11238,12154.2374,0.3867,31.2974,30.9107,0.0000,36.3038,0.4498,0.4625,conique,-35.8
component,1,peripherique,9,7.1712,7.3424,10.1778,2.8354,5.0450,7.3620,0.5701,0.5474,conique,-15.7
component,2,peripherique,4,11.4405,9.8733,13.0106,3.1372,12.5186,15.2927,0.2201,0.8513,horizontale,-20.6
component,3,peripherique,3,3.2776,7.4538,9.1582,1.7044,4.7151,6.6635,0.3251,0.6280,horizontale,71.7
component,4,peripherique,3,1.8315,8.3221,10.8918,2.5697,6.7304,7.4095,0.3275,0.6508,horizontale,32.9
component,5,peripherique,3,8.4148,13.5117,15.9018,2.3901,11.8418,14.9819,0.3945,0.7479,horizontale,-109.0
component,6,peripherique,3,2.1703,7.9469,9.8560,1.9091,5.6174,6.1860,0.2419,0.9399,horizontale,-57.5
component,7,peripherique,3,3.8900,9.1650,11.1099,1.9449,5.2011,6.7009,0.4233,0.8253,horizontale,-71.2
component,8,centrale,3,11.9581,1.1015,3.8946,2.7932,16.9567,20.6144,0.6700,0.2407,conique,163.1
component,9,peripherique,2,2.2945,11.8139,13.3463,1.5324,0.0000,2.8859,0.1842,0.0984,radiale,-54.9
component,10,peripherique,2,1.2564,6.1211,7.3042,1.1830,0.0000,1.1034,0.5812,0.5014,conique,34.1
component,11,peripherique,2,2.0166,9.7758,11.5380,1.7621,5.6682,7.3306,0.4075,0.5501,conique,2.4
component,12,peripherique,2,4.6477,10.9037,12.9001,1.9963,10.7485,13.8171,0.4412,0.5536,conique,-64.7
component,13,peripherique,2,3.4161,9.8834,13.1330,3.2496,5.5774,6.0383,0.1058,0.9700,horizontale,20.9
component,14,peripherique,2,6.6912,11.4794,13.8441,2.3648,6.2823,9.7212,0.0041,0.7173,horizontale,-8.8
component,15,peripherique,2,1.8328,7.5619,9.1257,1.5638,5.0890,6.1655,0.3742,0.6540,horizontale,155.0
component,16,peripherique,2,1.2692,9.0542,10.9152,1.8610,5.0229,5.5901,0.2489,0.8606,horizontale,-3.4
component,17,peripherique,2,5.0683,10.5254,11.6662,1.1408,7.6453,9.5291,0.8523,0.5209,conique,-147.6
component,18,peripherique,1,0.8198,7.7169,8.6051,0.8882,0.0000,0.9930,0.3191,0.7909,horizontale,125.5
component,19,peripherique,1,0.3666,6.9831,7.5348,0.5517,0.0000,0.8759,0.8504,0.5261,conique,26.7
component,20,peripherique,1,0.7394,9.3510,10.6263,1.2753,5.2156,6.1655,0.6074,0.0511,conique,-134.0
component,21,peripherique,1,0.6204,10.5827,11.2834,0.7007,3.6335,4.8813,0.5741,0.4692,conique,4.3
component,22,peripherique,1,1.2717,10.1259,11.1878,1.0619,4.8813,6.0167,0.5270,0.7218,horizontale,11.9
component,23,peripherique,1,4.1665,10.0660,12.9001,2.8341,8.0909,10.9554,0.1216,0.3405,radiale,-55.3
component,24,peripherique,1,0.6428,8.5403,9.7745,1.2342,3.3825,3.9581,0.3199,0.9160,horizontale,-150.6
component,25,peripherique,1,0.9335,8.6301,9.9529,1.3228,6.5675,7.7041,0.4259,0.8125,horizontale,-76.2
component,26,peripherique,1,0.6823,8.2369,9.6291,1.3923,4.9044,5.5523,0.2677,0.8588,horizontale,77.2
component,27,peripherique,1,0.6226,8.6162,9.4411,0.8249,5.5303,6.7304,0.8501,0.4513,conique,28.8
component,28,peripherique,1,0.9191,7.4129,9.2429,1.8300,7.8938,8.8566,0.1061,0.6707,horizontale,-162.8
component,29,peripherique,1,0.6450,6.4824,7.6260,1.1436,9.0080,9.8865,0.2358,0.6481,horizontale,58.9
component,30,peripherique,1,2.2761,9.6850,11.2752,1.5902,5.5774,8.7934,0.2285,0.1618,radiale,28.4
component,31,peripherique,1,0.9583,9.4093,11.4806,2.0713,7.3306,8.0436,0.2778,0.7946,horizontale,-5.7
component,32,peripherique,1,1.6051,8.9981,11.5385,2.5404,8.0112,8.5557,0.2065,0.9777,horizontale,4.4
component,33,peripherique,1,0.7210,6.2500,7.5467,1.2967,4.2454,4.5082,0.1032,0.9679,horizontale,-61.1
component,34,peripherique,1,1.2692,7.2316,8.9953,1.7638,1.6080,2.2779,0.2260,0.9194,horizontale,82.1
component,35,peripherique,1,0.6787,7.0686,7.8887,0.8201,3.5304,4.8978,0.5876,0.0089,conique,-100.9
component,36,peripherique,1,0.8285,8.1503,9.8165,1.6661,6.1655,6.9044,0.1105,0.7946,horizontale,118.4
component,37,peripherique,1,0.7100,6.3390,7.5874,1.2484,2.1297,2.4044,0.0609,0.9796,horizontale,-125.9
component,38,peripherique,1,0.5880,7.9971,9.0942,1.0972,4.6895,5.6547,0.3672,0.4996,conique,-124.5
component,39,peripherique,1,0.6360,9.5678,10.6937,1.1259,3.4576,3.5071,0.0114,0.9994,horizontale,-76.3
component,40,peripherique,1,0.7283,8.8880,9.7933,0.9053,6.1655,7.7463,0.3737,0.3879,conique,159.2
component,41,peripherique,1,0.8991,9.2946,10.3977,1.1030,4.2882,5.9253,0.5177,0.3517,conique,54.6
component,42,peripherique,1,0.8488,7.0855,8.4996,1.4141,1.3290,1.6080,0.1982,0.9768,horizontale,112.7
component,43,peripherique,1,2.5094,21.9396,24.0508,2.1112,12.8236,15.9049,0.2029,0.1951,radiale,-107.0
component,44,peripherique,1,0.6533,9.0089,10.2235,1.2146,4.4131,5.0952,0.3797,0.6825,horizontale,-167.1
component,45,peripherique,1,0.8007,9.0183,10.0693,1.0511,2.7564,4.3079,0.1741,0.2112,radiale,-59.8
